Sample,Taxon,Table,Count
D7P1,Carpophilus_davidsoni,above,533
D7P1,Carpophilus_dimidiatus,above,7770
D7P1,Diuraphis_noxia,above,23
D7P1,Drosophila_hydeii,above,393
D7P1,Drosophila_melanogaster,above,52726
D7P1,Drosophila_simulans,above,662
D7P1,Lysiphlebus_testaceipes,above,318
D7P1,Metopolophium_dirhodum,above,24
D7P1,Psyllid_sp,above,1330
D7P1,Rhopalosiphum_padi,above,165
D7P1,Scaptodrosophila_lativittata,above,857
PCRpool7P1,Acizzia_alternata,above,1065
PCRpool7P1,Acizzia_solanicola,above,77726
PCRpool7P1,Aphidius_colemani,above,18157
PCRpool7P1,Bactrocera_tryoni,above,764
PCRpool7P1,Bradysia_ocellaris,above,1028
PCRpool7P1,Carpophilus_davidsoni,above,2370
PCRpool7P1,Carpophilus_dimidiatus,above,1276
PCRpool7P1,Diuraphis_noxia,above,733
PCRpool7P1,Drosophila_hydeii,above,1621
PCRpool7P1,Drosophila_melanogaster,above,22851
PCRpool7P1,Drosophila_simulans,above,22385
PCRpool7P1,Lysiphlebus_testaceipes,above,0
PCRpool7P1,Metopolophium_dirhodum,above,833
PCRpool7P1,Psyllid_sp,above,1812
PCRpool7P1,Rhopalosiphum_padi,above,1353
PCRpool7P1,Scaptodrosophila_lativittata,above,2063
I8P1,Acizzia_alternata,above,138424
I8P1,Acizzia_solanicola,above,225881
I8P1,Aphidius_colemani,above,4757
I8P1,Bactrocera_tryoni,above,41034
I8P1,Bradysia_ocellaris,above,0
I8P1,Carpophilus_davidsoni,above,724
I8P1,Carpophilus_dimidiatus,above,1759
I8P1,Diuraphis_noxia,above,296
I8P1,Drosophila_hydeii,above,6069
I8P1,Drosophila_melanogaster,above,159702
I8P1,Drosophila_simulans,above,2831
I8P1,Lysiphlebus_testaceipes,above,428
I8P1,Metopolophium_dirhodum,above,2467
I8P1,Psyllid_sp,above,6510
I8P1,Rhopalosiphum_padi,above,2812
I8P1,Scaptodrosophila_lativittata,above,464
D8P1,Acizzia_alternata,above,8597
D8P1,Acizzia_solanicola,above,10148
D8P1,Aphidius_colemani,above,25940
D8P1,Bactrocera_tryoni,above,798
D8P1,Bradysia_ocellaris,above,0
D8P1,Carpophilus_davidsoni,above,1035
D8P1,Carpophilus_dimidiatus,above,7552
D8P1,Diuraphis_noxia,above,22
D8P1,Drosophila_hydeii,above,452
D8P1,Drosophila_melanogaster,above,92195
D8P1,Drosophila_simulans,above,777
D8P1,Lysiphlebus_testaceipes,above,1270
D8P1,Metopolophium_dirhodum,above,36
D8P1,Psyllid_sp,above,1279
D8P1,Rhopalosiphum_padi,above,185
D8P1,Scaptodrosophila_lativittata,above,856
PCRpool8P1,Acizzia_alternata,above,1947
PCRpool8P1,Acizzia_solanicola,above,10364
PCRpool8P1,Aphidius_colemani,above,59831
PCRpool8P1,Bactrocera_tryoni,above,973
PCRpool8P1,Bradysia_ocellaris,above,0
PCRpool8P1,Carpophilus_davidsoni,above,6360
PCRpool8P1,Carpophilus_dimidiatus,above,1956
PCRpool8P1,Diuraphis_noxia,above,1065
PCRpool8P1,Drosophila_hydeii,above,2251
PCRpool8P1,Drosophila_melanogaster,above,61216
PCRpool8P1,Drosophila_simulans,above,31460
PCRpool8P1,Lysiphlebus_testaceipes,above,7836
PCRpool8P1,Metopolophium_dirhodum,above,1288
PCRpool8P1,Psyllid_sp,above,2932
PCRpool8P1,Rhopalosiphum_padi,above,1855
PCRpool8P1,Scaptodrosophila_lativittata,above,3031
I1P2,Acizzia_alternata,above,276614
I1P2,Acizzia_solanicola,above,98450
I1P2,Aphidius_colemani,above,5261
I1P2,Bactrocera_tryoni,above,9883
I1P2,Bradysia_ocellaris,above,0
I1P2,Carpophilus_davidsoni,above,24347
I1P2,Carpophilus_dimidiatus,above,160
I1P2,Diuraphis_noxia,above,450
I1P2,Drosophila_hydeii,above,270
