Sample,Taxon,Count,Observed,Expected,Num_species
PCRpool6P1,Carpophilus_davidsoni,33693,20.03293933,0.5,15
PCRpool6P1,Carpophilus_dimidiatus,1921,1.142174234,0.01,15
PCRpool6P1,Diuraphis_noxia,1058,0.629057959,0.01,15
PCRpool6P1,Drosophila_hydeii,2238,1.330653792,0.01,15
PCRpool6P1,Drosophila_melanogaster,11455,6.810830737,0.1,15
PCRpool6P1,Drosophila_simulans,31378,18.65650344,0.01,15
PCRpool6P1,Lysiphlebus_testaceipes,1540,0.91564202,0.01,15
PCRpool6P1,Metopolophium_dirhodum,1269,0.754512807,0.01,15
PCRpool6P1,Psyllid_sp,2897,1.722477228,0.01,15
PCRpool6P1,Rhopalosiphum_padi,2353,1.399029657,0.01,15
PCRpool6P1,Scaptodrosophila_lativittata,3018,1.794420529,0.01,15
I7P1,Acizzia_alternata,2107,0.39086123,0.00990099,16
I7P1,Acizzia_solanicola,488871,90.68852423,0.495049505,16
I7P1,Aphidius_colemani,3583,0.664668148,0.089108911,16
I7P1,Bactrocera_tryoni,5687,1.05497286,0.00990099,16
I7P1,Bradysia_ocellaris,20,0.003710121,0.00990099,16
I7P1,Carpophilus_davidsoni,77,0.014283965,0.04950495,16
I7P1,Carpophilus_dimidiatus,48,0.00890429,0.00990099,16
I7P1,Diuraphis_noxia,45,0.008347772,0.00990099,16
I7P1,Drosophila_hydeii,2027,0.376020747,0.00990099,16
I7P1,Drosophila_melanogaster,32029,5.941573017,0.247524752,16
I7P1,Drosophila_simulans,142,0.026341858,0.00990099,16
I7P1,Lysiphlebus_testaceipes,34,0.006307205,0.00990099,16
I7P1,Metopolophium_dirhodum,148,0.027454894,0.00990099,16
I7P1,Psyllid_sp,3749,0.695462151,0.00990099,16
I7P1,Rhopalosiphum_padi,449,0.083292213,0.00990099,16
I7P1,Scaptodrosophila_lativittata,50,0.009275302,0.00990099,16
D7P1,Acizzia_alternata,15264,7.593576503,0.00990099,16
D7P1,Acizzia_solanicola,108246,53.85051639,0.495049505,16
D7P1,Aphidius_colemani,11312,5.627524725,0.089108911,16
