Sample,Taxon,Observed,Count,Expected,Plate,Barcode,Mixture_type,Num_species,Table
D3P1,Metopolophium_dirhodum,0.019273589,38,0.01,1,8,DNA,15,above
D3P1,Psyllid_sp,0.741525961,1462,0.01,1,8,DNA,15,above
D3P1,Rhopalosiphum_padi,0.08368795,165,0.01,1,8,DNA,15,above
D3P1,Scaptodrosophila_lativittata,0.446842935,881,0.01,1,8,DNA,15,above
PCRpool3P1,Acizzia_alternata,0.498747403,653,0.01,1,9,PCR,15,above
PCRpool3P1,Acizzia_solanicola,50.98832946,66758,0.5,1,9,PCR,15,above
PCRpool3P1,Aphidius_colemani,8.449682268,11063,0.06,1,9,PCR,15,above
PCRpool3P1,Bactrocera_tryoni,0.445282904,583,0.01,1,9,PCR,15,above
PCRpool3P1,Bradysia_ocellaris,0,0,0,1,9,PCR,15,above
PCRpool3P1,Carpophilus_davidsoni,1.506935109,1973,0.05,1,9,PCR,15,above
PCRpool3P1,Carpophilus_dimidiatus,0.808077722,1058,0.01,1,9,PCR,15,above
PCRpool3P1,Diuraphis_noxia,0.509440303,667,0.01,1,9,PCR,15,above
PCRpool3P1,Drosophila_hydeii,1.295368447,1696,0.01,1,9,PCR,15,above
PCRpool3P1,Drosophila_melanogaster,14.81806795,19401,0.25,1,9,PCR,15,above
PCRpool3P1,Drosophila_simulans,13.56165221,17756,0.01,1,9,PCR,15,above
PCRpool3P1,Lysiphlebus_testaceipes,3.010815104,3942,0.04,1,9,PCR,15,above
PCRpool3P1,Metopolophium_dirhodum,0.546101674,715,0.01,1,9,PCR,15,above
PCRpool3P1,Psyllid_sp,1.385494317,1814,0.01,1,9,PCR,15,above
PCRpool3P1,Rhopalosiphum_padi,0.775235244,1015,0.01,1,9,PCR,15,above
PCRpool3P1,Scaptodrosophila_lativittata,1.400769889,1834,0.01,1,9,PCR,15,above
I4P1,Acizzia_alternata,2.653727406,11105,0.01,1,10,Insects,15,above
I4P1,Acizzia_solanicola,26.39317702,110447,0.05,1,10,Insects,15,above
I4P1,Aphidius_colemani,4.547540075,19030,0.12,1,10,Insects,15,above
I4P1,Bactrocera_tryoni,2.431249223,10174,0.01,1,10,Insects,15,above
I4P1,Bradysia_ocellaris,0,0,0,1,10,Insects,15,above
I4P1,Carpophilus_davidsoni,0.377328732,1579,0.1,1,10,Insects,15,above
I4P1,Carpophilus_dimidiatus,0.072168003,302,0.01,1,10,Insects,15,above
I4P1,Diuraphis_noxia,0.528116845,2210,0.01,1,10,Insects,15,above
I4P1,Drosophila_hydeii,0.427750748,1790,0.01,1,10,Insects,15,above
I4P1,Drosophila_melanogaster,55.64654884,232863,0.5,1,10,Insects,15,above
I4P1,Drosophila_simulans,1.540380626,6446,0.01,1,10,Insects,15,above
I4P1,Lysiphlebus_testaceipes,2.749314165,11505,0.13,1,10,Insects,15,above
I4P1,Metopolophium_dirhodum,0.481279333,2014,0.01,1,10,Insects,15,above
I4P1,Psyllid_sp,0.587619603,2459,0.01,1,10,Insects,15,above
I4P1,Rhopalosiphum_padi,1.341799134,5615,0.01,1,10,Insects,15,above
I4P1,Scaptodrosophila_lativittata,0.222000249,929,0.01,1,10,Insects,15,above
D4P1,Acizzia_alternata,7.578315986,12028,0.01,1,11,DNA,15,above
D4P1,Acizzia_solanicola,6.918647143,10981,0.05,1,11,DNA,15,above
D4P1,Aphidius_colemani,10.61014643,16840,0.12,1,11,DNA,15,above
D4P1,Bactrocera_tryoni,0.410796643,652,0.01,1,11,DNA,15,above
D4P1,Bradysia_ocellaris,0,0,0,1,11,DNA,15,above
D4P1,Carpophilus_davidsoni,0.711963507,1130,0.1,1,11,DNA,15,above
D4P1,Carpophilus_dimidiatus,5.528113108,8774,0.01,1,11,DNA,15,above
D4P1,Diuraphis_noxia,0.011971068,19,0.01,1,11,DNA,15,above
D4P1,Drosophila_hydeii,0.30179692,479,0.01,1,11,DNA,15,above
D4P1,Drosophila_melanogaster,63.62811563,100988,0.5,1,11,DNA,15,above
D4P1,Drosophila_simulans,0.444189622,705,0.01,1,11,DNA,15,above
D4P1,Lysiphlebus_testaceipes,2.283953729,3625,0.13,1,11,DNA,15,above
D4P1,Metopolophium_dirhodum,0.017011517,27,0.01,1,11,DNA,15,above
D4P1,Psyllid_sp,0.906020817,1438,0.01,1,11,DNA,15,above
D4P1,Rhopalosiphum_padi,0.090728093,144,0.01,1,11,DNA,15,above
D4P1,Scaptodrosophila_lativittata,0.558229794,886,0.01,1,11,DNA,15,above
PCRpool4P1,Acizzia_alternata,0.738718287,1204,0.01,1,12,PCR,15,above
PCRpool4P1,Acizzia_solanicola,6.070497285,9894,0.05,1,12,PCR,15,above
PCRpool4P1,Aphidius_colemani,21.63941467,35269,0.12,1,12,PCR,15,above
PCRpool4P1,Bactrocera_tryoni,0.627665123,1023,0.01,1,12,PCR,15,above
PCRpool4P1,Bradysia_ocellaris,0,0,0,1,12,PCR,15,above
PCRpool4P1,Carpophilus_davidsoni,3.379452097,5508,0.1,1,12,PCR,15,above
PCRpool4P1,Carpophilus_dimidiatus,0.930146946,1516,0.01,1,12,PCR,15,above
PCRpool4P1,Diuraphis_noxia,0.604963647,986,0.01,1,12,PCR,15,above
PCRpool4P1,Drosophila_hydeii,1.255330245,2046,0.01,1,12,PCR,15,above
PCRpool4P1,Drosophila_melanogaster,32.06736816,52265,0.5,1,12,PCR,15,above
PCRpool4P1,Drosophila_simulans,16.86842347,27493,0.01,1,12,PCR,15,above
PCRpool4P1,Lysiphlebus_testaceipes,11.08445562,18066,0.13,1,12,PCR,15,above
PCRpool4P1,Metopolophium_dirhodum,0.664478326,1083,0.01,1,12,PCR,15,above
PCRpool4P1,Psyllid_sp,1.494616069,2436,0.01,1,12,PCR,15,above
PCRpool4P1,Rhopalosiphum_padi,1.030156149,1679,0.01,1,12,PCR,15,above
PCRpool4P1,Scaptodrosophila_lativittata,1.544313894,2517,0.01,1,12,PCR,15,above
